Input sentence,YAKE Prediction,TEXT_RANK Prediction,Target Prediction
love the show and every episode,every episode/love/episode/love the show/show,show,"Good/like the show/everything,,,,,,"
I think the writing is outstanding. I like the twists and turns. I can't wait to see what happens.,outstanding/writing is outstanding/think/writing/think the writing,outstanding/writing,"Like the writing/dialog,Suspense/Mystery/thrillers,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
Other,,,"None/no answer,,,,,,"
It’s a good brand of service for the kids,good brand/kids/good/brand/service,good brand,"Other misc. mentions,,,,,,"
nothing,nothing,,"None/no answer,,,,,,"
I love The technology and futuristic scenario,futuristic scenario/scenario/love/technology/futuristic,futuristic,"Technological aspects (inclusion of robots, exploring AI, etc.),Futuristic,,,,,"
The complex storylines and excellent character development,excellent character development/character development/complex storylines/excellent character/development,character/complex,"Complex storyline,Appealing characters/I like the characters,,,,,"
I think the plot is good and interesting,interesting/good and interesting/think/plot/good,plot,"Like the premise/setting/scenery,Interesting/engaging,,,,,"
express way is too nice,express way/express/nice/way,express,"Other misc. mentions,,,,,,"
No comment,comment,,"None/no answer,,,,,,"
"The sci-fi is very interesting, this show has some great characters and it keeps you guessing what's going to happen with each episode.",great characters/sci/interesting/going/episode,great characters/sci,"Interesting/engaging,Appealing characters/I like the characters,Suspense/Mystery/thrillers,,,,"
I only watched one show and I was a bit confused. I guess maybe I need to give it another try to see where it goes.,watched one show/one show/watched one/show/bit confused,bit confused,"Have not watched enough to comment/not familiar with the show,,,,,,"
What really grabbed me about the show was how Season 1 ended.The robots had been trying to make this revolution happen multiple times and seeing Dolores get to leave the park at the end was exhilirating.,really grabbed/seeing dolores get/revolution happen multiple/happen multiple times/season,multiple times/season/show,"Good experience/liked the previous seasons,Technological aspects (inclusion of robots, exploring AI, etc.),Like the character Dolores Abernathy,,,,"
its unique and has a lot of well known actors,well known actors/known actors/well known/actors/unique,unique,"Unique/different,Good cast/actors,,,,,"
the robots are real,real/robots are real/robots,robots,"Looks realistic,,,,,,"
Nothing,nothing,,"None/no answer,,,,,,"
very good episod i like it very much,good episod/episod/good/much/like,good,"Good/like the show/everything,,,,,,"
"Its like nothing else on television. The overall writing, the big plot twist at the end of season 1 with Ed Helms's character being revealed to be a younger version of himself in episodes. Plus some of the other characters realizing they are actually AI that thought they were real people.",like nothing else/like nothing/nothing else/big plot twist/television,other characters/younger version/ed helms/overall writing/plot,"Attention grabbing/holds interest/keeps you wanting to watch more,Like the writing/dialog,Suspense/Mystery/thrillers,Appealing characters/I like the characters,Looks realistic,,"
The complexity of the storylines and characters.,characters/storylines and characters/complexity/storylines,complexity,"Complex storyline,Appealing characters/I like the characters,,,,,"
I love the people who play the characters in the show,play the characters/show/love/people/play,people,"Appealing characters/I like the characters,,,,,,"
The characters are so fascinating. You root for them.,fascinating/characters/root,characters,"Appealing characters/I like the characters,,,,,,"
none,none,,"None/no answer,,,,,,"
"From the very first episode in season 1, the writers have had my interest. It's always moving, always changing. Most shows are pretty easy to figure out but not Westworld. It reminds me of GOT.",first episode/interest/always/always moving/always changing,most shows/first episode/season,"Interesting/engaging,Suspense/Mystery/thrillers,,,,,"
I like it base on the characters in the story that make the overall that much better,much better/better/like/base/characters,story/characters,"Appealing characters/I like the characters,,,,,,"
it is very unique. the quality of the writing and acting is top notch. and i would watch anything with Ed Harris,unique/top notch/harris/notch/quality,ed harris/top notch,"Unique/different,Like the writing/dialog,Good acting,Like Ed Harris,,,"
"I love all the narratives. How the characters connect, crossing paths but heading in the same direction. Then they go in a different direction, their focus changes as does their personalities. I miss the park but I'm looking forward to see how many of the ""guests"" show up in the real world. But are they a guest that escaped the park or are they human?",narratives/characters connect/crossing paths/direction/different direction,different direction/same direction/real world/focus changes/narratives,"Other show characteristic mentions,Like the characters development,Technology involvement/overpowering human life,,,,"
The idea seemed intriguing and creative and it had really good production value,good production value/idea seemed intriguing/really good production/production value/idea seemed,good production value,"Like the concept/idea of futuristic amusement park,High quality show/high production values,,,,,"
The story is unique,unique/story is unique/story,story,"Unique/different,,,,,,"
Concept of show is thought provoking and original,thought provoking/concept/original/concept of show/provoking and original,show/concept,"Thought provoking,Original,,,,,"
"Futuristic, AI",futuristic,futuristic,"Futuristic,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
good,good,,"Good/like the show/everything,,,,,,"
trye,trye,,"None/no answer,,,,,,"
It is a compelling clash of genres and big ideas,big ideas/compelling clash/ideas/compelling/clash,compelling clash,"Like the genre,Like the concept/idea of futuristic amusement park,,,,,"
I'm just very involved with the storylines of the characters and I want to see how the plot ends up,plot ends/involved/storylines/characters/want,storylines/involved,"Attention grabbing/holds interest/keeps you wanting to watch more,Appealing characters/I like the characters,,,,,"
the sci-fi and the idea of artificial intelligence,artificial intelligence/sci/intelligence/idea/artificial,artificial intelligence,"Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
"The plot, twists and themes about technology",plot/twists/technology/twists and themes/themes about technology,twists/plot,"Good storyline/subject matter,Suspense/Mystery/thrillers,Technological aspects (inclusion of robots, exploring AI, etc.),,,,"
i watched season one and was not that interested,watched season one/watched season/season one/interested/watched,season,"All negative mentions,,,,,,"
stuff for sure and things and me and then some and things and you,sure and things/things/stuff/stuff for sure/sure,stuff,"None/no answer,,,,,,"
Anthony Hopkins is amazing in anything he plays in. The show is do good is because it's Western and Sci-Fi at the same time. All the artificial intelligence makes you wanting more.,anthony hopkins/hopkins/anthony/hopkins is amazing/amazing,artificial intelligence/same time/anthony hopkins,"Other acting mentions,Good/like the show/everything,Western aspect,Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Attention grabbing/holds interest/keeps you wanting to watch more,"
"The story is unique, dark , thought provoking.",thought provoking/dark/unique/thought/provoking,unique/story,"Unique/different,Dark/sarcastic,Thought provoking,,,,"
relevant and believable,relevant/believable/relevant and believable,relevant,"Other show characteristic mentions,,,,,,"
Different than other shows,different/shows,other,"Unique/different,,,,,,"
everything,everything,,"Good/like the show/everything,,,,,,"
I like the characters evolution. How westworld changed them and made each one who they are. Whether it’s an angry girl or a thought provoking lab tech,characters evolution/evolution/like/characters/whether,angry girl/characters evolution,"Like the characters development,,,,,,"
the compelling story line and characters. there really isn't another show that's like it.,compelling story line/compelling story/story line/characters/line and characters,compelling story,"Good storyline/subject matter,Appealing characters/I like the characters,Good/like the show/everything,,,,"
It’s an overall amazing addicting show,amazing addicting show/overall amazing addicting/addicting show/overall amazing/amazing addicting,amazing addicting,"Good/like the show/everything,,,,,,"
I love that it’s a new idea for a show. I love sci-fi and I think the acting is excellent,new idea/love sci/show/love/new,new idea/show,"Unique/different,Like the concept/idea of futuristic amusement park,Science fiction/fantasy,Good acting,,,"
you have good suspense scenes and the dialogue in the characters is macabre it also has good actors,good suspense scenes/good actors/suspense scenes/good suspense/actors,good suspense scenes/good,"Suspense/Mystery/thrillers,Good cast/actors,,,,,"
its for the whole family and move my kids imagination they always think about man in black its a good show nice to watch and informative,good show nice/whole family/kids imagination/always think/good show,kids imagination/whole family/show,"Can watch with family/family likes the show,Good/like the show/everything,Informative/detailed,,,,"
it's very likeable,likeable,,"Good/like the show/everything,,,,,,"
The Sci-fi elements definitely and of course the wonderful cast and fantastic director,fantastic director/elements definitely/wonderful cast/sci/director,wonderful cast/fi elements,"Science fiction/fantasy,Good cast/actors,Other misc. mentions,,,,"
the very unique plot and storyline,unique plot/storyline/plot and storyline/unique/plot,unique,"Unique/different,,,,,,"
The story,story,,"Good storyline/subject matter,,,,,,"
iregtoier oigjheriogjhertipg jhepigjepigjertpiogjpgjteroj opergj pogefrt,iregtoier oigjheriogjhertipg jhepigjepigjertpiogjpgjteroj/jhepigjepigjertpiogjpgjteroj opergj pogefrt/oigjheriogjhertipg jhepigjepigjertpiogjpgjteroj opergj/iregtoier oigjheriogjhertipg/opergj pogefrt,oigjheriogjhertipg jhepigjepigjertpiogjpgjteroj,"None/no answer,,,,,,"
I love how the show is so intense and all leaves you on your toes.,toes/love/show/intense/leaves,show,"Intense/serious,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
i am able to empathise with the character in depth,depth/character in depth/able/empathise/character,able,"Other characters mentions,,,,,,"
Not a whole lot really . The storyline is hard to follow . I'm really not a sci fi fan . My friend who was hanging out . Before the quarantine wanted to watch .,whole lot really/whole lot/lot really/whole/lot,whole lot/hard/storyline,"All negative mentions,,,,,,"
The setting of the show.,show/setting,setting,"Like the premise/setting/scenery,,,,,,"
From the beginning of Season one all the way up until now what has truly fascinated me about this show is how it brings to life these almost human creatures so to speak who start to question there own existence,almost human creatures/season one/truly fascinated/almost human/human creatures,own existence/human creatures,"Interesting/engaging,Other storyline/Plot mentions,,,,,"
The plot,plot,,"Good storyline/subject matter,,,,,,"
The theme of the robots as people,people/robots as people/theme/robots,theme,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
the level of detail and the unpredictability of the storyline,storyline/level/detail/unpredictability/level of detail,detail/level,"Informative/detailed,Suspense/Mystery/thrillers,,,,,"
I love the rich and detailed world. I love the sci fi theme. All the acting is phenomenal. I love the violence and the thought provoking story.,detailed world/love/world/love the violence/rich,thought provoking story/detailed world,"Other show type mentions,Science fiction/fantasy,Good acting,Violence,Thought provoking,,"
It is very entertaining,entertaining,,"Witty/humorous/funny/entertaining,,,,,,"
Great ensemble of a cast,great ensemble/great/cast/ensemble,great,"Good cast/actors,,,,,,"
Don't know,know,,"Don't know,,,,,,"
nothing,nothing,,"None/no answer,,,,,,"
I liked the beginning when it looked like it would be a western but then got too futuristic and AI,looked like/western/liked/beginning/looked,western/beginning,"Western aspect,Futuristic,Technological aspects (inclusion of robots, exploring AI, etc.),,,,"
I like the action and fantasy,fantasy/action and fantasy/like/action/like the action,action,"Like the action/adventurous,Science fiction/fantasy,,,,,"
Futuristic and the what if factor,futuristic/factor,futuristic,"Futuristic,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"The twist and turns, not knowing what's to follow, you think you know what's next...but it's not.",next/turns/follow/twist and turns/twist,twist,"Suspense/Mystery/thrillers,,,,,,"
The characters and the worlds that they inhabit draws me to the show. I've always had this interest in artificial intelligence and I love sci-fi films. I love the acting also.,inhabit draws/show/artificial intelligence/characters/worlds,fi films/artificial intelligence/characters,"Appealing characters/I like the characters,Technological aspects (inclusion of robots, exploring AI, etc.),Science fiction/fantasy,Good acting,,,"
Nick,nick,,"Other misc. mentions,,,,,,"
the mystery and lore,lore/mystery and lore/mystery,mystery,"Suspense/Mystery/thrillers,Good storyline/subject matter,,,,,"
It has great riveting storytelling and visuals.,great riveting storytelling/great riveting/riveting storytelling/visuals/storytelling and visuals,great riveting,"Good storyline/subject matter,Good visuals/graphics/special effects,,,,,"
The concept of the show is interesting and falls into the genre I like. I haven't watched more because there are so many seasons and it is a long time commitment.,long time commitment/like/time commitment/concept/show,long time commitment/many seasons,"Like the concept/idea of futuristic amusement park,Good/like the show/everything,Have not watched enough to comment/not familiar with the show,,,,"
The story line and the surprise ending,surprise ending/story line/ending/story/line,story line,"Good storyline/subject matter,Suspense/Mystery/thrillers,,,,,"
IS UNIQUE GOOD STORY,unique good story/good story/unique good/story/unique,good,"Unique/different,Good storyline/subject matter,,,,,"
yes i lik this,yes/lik,,"Good/like the show/everything,,,,,,"
SPORTS,sports,,"Other misc. mentions,,,,,,"
"Intense storyline, the key concept of the show, detailed, has just enough of a splash of violence and nudity to add to the story.",intense storyline/key concept/nudity to add/detailed/intense,key concept/intense storyline/show,"Intense/serious,Like the concept/idea of futuristic amusement park,Informative/detailed,Violence,Other storyline/Plot mentions,,"
its good to use overall,use overall/overall/good/use/good to use,good,"Good/like the show/everything,,,,,,"
"enjoy the plot twists and seeing where they end up, I am about to rewatch season 2 and then season 3",plot twists/rewatch season/enjoy/season/enjoy the plot,plot twists,"Suspense/Mystery/thrillers,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
it is very raw and authentic,authentic/raw and authentic/raw,raw,"Other show characteristic mentions,Original,,,,,"
It is great plotting and characterization,great plotting/characterization/plotting and characterization/great/plotting,great,"Like the premise/setting/scenery,Appealing characters/I like the characters,,,,,"
diffrent than ofhte progams,ofhte progams/diffrent/progams/diffrent than ofhte/ofhte,ofhte,"Unique/different,,,,,,"
The cast is different than most other shows and has a unique theme that is followable.,unique theme/followable/cast/different/shows,most other/unique theme,"Good cast/actors,Unique/different,,,,,"
The scfi setting makes it cool,scfi setting makes/scfi setting/setting makes/cool/makes it cool,scfi,"Like the premise/setting/scenery,,,,,,"
Its complex. I'm trying to figure out what Delores is up to.,complex/delores/trying/figure/trying to figure,complex,"All negative mentions,,,,,,"
The story and the tone of the show,show/story/tone,story,"Good storyline/subject matter,Other show characteristic mentions,,,,,"
"The setting, and the technology. couple that with complex and intricate twists in the story line, and you have an excellent show.",setting/technology/story line/excellent show/intricate twists,story line/intricate twists/excellent,"Like the premise/setting/scenery,Technological aspects (inclusion of robots, exploring AI, etc.),Suspense/Mystery/thrillers,Good/like the show/everything,,,"
"I was familiar with earlier iterations of Westworld and was pretty exited when I heard about the show, so I may be a little biased. And knowing that HBO was producing it also added to the excitement. They (HBO) have become synonymous with good hour long dramas and lead the way in modern TV story telling. The cast looked good from the start and they haven't disappointed me yet in terms of effort and class acting.I was already a fan of Jonathon Nolan and his writing, etc. etc. etc. And still aside from all of that bias, it manages to live up to my expectations. The writing is gripping and involving and I can't wait to see what happens next.",little biased/earlier iterations/pretty exited/westworld/etc,modern tv story telling/good hour long dramas/jonathon nolan/class acting/earlier iterations,"Other show characteristic mentions,Exciting,Aired on HBO,Good cast/actors,Good acting,Other acting mentions,Like the writing/dialog"
Rebellion,rebellion,,"Other misc. mentions,,,,,,"
I think that the acting and the excitement makes this show enjoyable.,show enjoyable/excitement makes/enjoyable/think/acting,show enjoyable,"Good acting,Exciting,,,,,"
I love the thriller scifi aspect of the show. I am fascinated by the concept of the AI and I love mysteries. This show does a really good job of keeping you guessing and adding intrigue. The acting is also phenomenal.,thriller scifi aspect/thriller scifi/scifi aspect/love mysteries/love,good job/show/aspect/thriller,"Suspense/Mystery/thrillers,Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Thought provoking,Interesting/engaging,Good acting,"
I love that it’s realistically portrayed,realistically portrayed/realistically/portrayed/love,,"Looks realistic,,,,,,"
Westwood explained more about the charters back stories tHan Sea son 1,charters back stories/sea son/westwood explained/charters back/back stories,sea son/westwood,"Good storyline/subject matter,,,,,,"
I love the dynamics between Caleb and Delores. They are an interesting new duo and I cannot wait to see how their storyline evolves. Maeve is great played by Thandie Newton.,delores/caleb and delores/caleb/thandie newton/dynamics between caleb,thandie newton/storyline evolves/new,"Other characters mentions,Like the character Dolores Abernathy,Like Thandie Newton,,,,"
The idea that artificial intelligence reaches a pinnacle of human beings and exceeds them.,artificial intelligence reaches/artificial intelligence/intelligence reaches/human beings/idea,artificial intelligence/human,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
I think it has really good acting and suspense. I really like the complex storylines and like the characters. I like the futuristic aspect and technology parts of the show.,really good acting/good acting/really good/suspense/like,complex storylines/good acting/futuristic,"Good acting,Suspense/Mystery/thrillers,Complex storyline,Appealing characters/I like the characters,Futuristic,Technological aspects (inclusion of robots, exploring AI, etc.),"
"The storylines are absolutely intriguing, the characters are multi-leveled and extremely interesting and love the unexpected plot twists! Although I was sad that the killed the little boy and husband in the last episode - very dark and sad! Curious if we are going to see Sir Snthony Hopkins make an appearance!",unexpected plot twists/absolutely intriguing/leveled and extremely/plot twists/extremely interesting,last episode -/unexpected plot twists/multi - leveled/little boy/snthony,"Good storyline/subject matter,Other storyline/Plot mentions,,,,,"
The uncertainty of what may or may not happen. The parts that keep you on the edge of your seat wondering what will happen next.,may/happen next/happen/may or may/uncertainty,parts/uncertainty,"Suspense/Mystery/thrillers,Exciting,,,,,"
Because of the sci-fi futuristic environment set in the wild west era,wild west era/futuristic environment set/west era/environment set/wild west,fi futuristic/west,"Science fiction/fantasy,Futuristic,,,,,"
great wring,great wring/great/wring,great,"Like the writing/dialog,,,,,,"
I like the technology aspect and that computer generated characters share such humanistic characteristics,computer generated characters/generated characters share/humanistic characteristics/technology aspect/computer generated,technology aspect/humanistic,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
I think the characters more than anything. I am a big Ed Harris fan and like Anthony Hopkins also.,anthony hopkins also/like anthony hopkins/anthony hopkins/hopkins also/anything,ed harris/anthony,"Appealing characters/I like the characters,Like Ed Harris,Other acting mentions,,,,"
Just the overall writing and concepts of the show is unlike anything else ive seen on tv. The real life fears with the world about AI and how they are depicted within the script are amazing. I also enjoy the cast of very talented and not necessarily the most heralded. There aren't many scenes or episodes as to me truly knowing what to expect next.,unlike anything else/overall writing/unlike anything/anything else/real life fears,many scenes/real life/overall writing/tv/show,"Like the writing/dialog,Like the concept/idea of futuristic amusement park,Looks realistic,Technological aspects (inclusion of robots, exploring AI, etc.),,,"
"Season 1 was incredible. The complex, yet thought provoking storyline, combined with a very cool concept and a thrilling twist at the end. I was hooked. Season 2 had some emmy-award-level episodes (Aketchta episode) but the overall storyline, especially the ending, was all over the place. I've only heard that season 3 is similar.",thought provoking storyline/yet thought provoking/incredible/aketchta episode/season,aketchta episode/level episodes/thrilling twist/cool concept/storyline,"Good experience/liked the previous seasons,Complex storyline,Thought provoking,Suspense/Mystery/thrillers,,,"
It's thought-provoking and is high-quality like most HBO programming,hbo programming/thought/quality like/hbo/provoking,most hbo,"Thought provoking,High quality show/high production values,Aired on HBO,,,,"
"Good story line, good action",good story line/good action/story line/good story/good,good story/good,"Good storyline/subject matter,Like the action/adventurous,,,,,"
Its a well written thrill with several plot twists and unexpected events that keep me on engaged,well written thrill/several plot twists/well written/written thrill/several plot,unexpected events/plot,"Like the writing/dialog,Suspense/Mystery/thrillers,Interesting/engaging,,,,"
You can fantasize about something that is not real,real/fantasize/something/fantasize about something,,"Science fiction/fantasy,,,,,,"
"the acting, the story, the worlds they create. The whole concept is interesting.",acting/story/create/worlds they create/whole concept,whole concept/acting,"Good acting,Creative/innovative/modern,Like the concept/idea of futuristic amusement park,,,,"
"The acting is second to none. The constantly building, interweaving narrative web is incredibly intricate, but always comes together in the end. Love the depiction of the near-future, and the cost and consequences of technology.",interweaving narrative web/always comes together/constantly building/incredibly intricate/none,narrative web/intricate/none/second/acting,"Good acting,Other storyline/Plot mentions,,,,,"
"Actually it's the writing/dialogue between the characters. It's very profound, although sometimes it is confusing. I usually have to watch each episode twice so that I will understand the plots.",actually/writing/dialogue/characters/although sometimes,characters/dialogue/writing,"Like the writing/dialog,,,,,,"
I love that this show has a futuristic overtone to the western world. Its great.,western world/futuristic overtone/world/love/show,futuristic overtone/western,"Futuristic,Good/like the show/everything,,,,,"
It is an interesting show I enjoy it a ton,interesting show/ton/interesting/show/enjoy,interesting,"Interesting/engaging,,,,,,"
Westworld's world-building is some of the finest I've seen from modern TV.,westworld/world/building/seen/seen from modern,modern tv/westworld,"Good/like the show/everything,,,,,,"
"The future has arrived at Westworld. Or rather, after two seasons spent in the amusement parks where the hosts acquire self-awareness, we finally take a look at what is hidden behind the curtain in a third that represents an evolution of everything we have seen so far. There are no longer narrative puzzles resulting from Bernard's mental confusion or the slow and traumatic awakening of Dolores; the fight for control of the world is now a reality and will take place on the streets digitized",hosts acquire self/two seasons spent/westworld/arrived at westworld/acquire self,traumatic awakening/mental confusion/narrative puzzles/amusement parks/self,"Futuristic,Like the characters interaction,Looks realistic,Technological aspects (inclusion of robots, exploring AI, etc.),,,"
What draws me into the show and makes me enjoy watching is that they have come up with such an original idea/storyline. I like that they live out their fantasies and the consequences that result from all this. I really feel they have complex characters and some of the best actors out there. It's something that is fun to watch. I'm a big sci fi fan so this is the type of show I really enjoy.,original idea/storyline/enjoy watching/idea/draws,best actors/complex characters/original idea/big,"Original,Science fiction/fantasy,Like the character complexity,Good cast/actors,Witty/humorous/funny/entertaining,Good/like the show/everything,"
I love the sci-fi genre and this is action packed and thrilling,action packed/sci/thrilling/love the sci/packed and thrilling,fi genre,"Science fiction/fantasy,Like the action/adventurous,Suspense/Mystery/thrillers,,,,"
exciting do not know what will happen next unpredictable,happen next unpredictable/next unpredictable/happen next/exciting/unpredictable,next,"Exciting,Suspense/Mystery/thrillers,,,,,"
The pure insanity and chaos. Of course the beautiful women help,pure insanity/beautiful women help/chaos/insanity and chaos/women help,pure insanity,"Other storyline/Plot mentions,Good cast/actors,,,,,"
The cast.,cast,,"Good cast/actors,,,,,,"
The discussin of privacy and free will,discussin/privacy/free/discussin of privacy/privacy and free,free will,"Other storyline/Plot mentions,,,,,,"
Znznznz znznzznz znz z snz snz zbz zjs sns sns sns sns sbs sns sns sns snsnsms sdkd d dnd djsbs sns dnd,snz zbz zjs/snz snz zbz/znznznz znznzznz znz/sns sns sns/sns sns,sns sns sns sns/sns sns sns/znznzznz znz z snz snz/sns/sdkd,"None/no answer,,,,,,"
good,good,,"Good/like the show/everything,,,,,,"
The aspect of using high technology in a system that we only imagine now.,using high technology/using high/high technology/aspect/using,high technology,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
good,good,,"Good/like the show/everything,,,,,,"
I really enjoy watching Westworld because it is a complex and thrilling show,enjoy watching westworld/really enjoy watching/watching westworld/thrilling show/really enjoy,thrilling show,"Good/like the show/everything,Complex storyline,Suspense/Mystery/thrillers,,,,"
Thinking kinda show you have to almost watch each episode twice.,thinking kinda show/thinking kinda/episode twice/kinda show/almost watch,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
Interesting story,interesting story/interesting/story,interesting,"Interesting/engaging,,,,,,"
The settling,settling,,"Like the premise/setting/scenery,,,,,,"
To be honest I like it but I only see it if there is nothing better to see.,honest/see/like/nothing/better,honest,"Good/like the show/everything,,,,,,"
"is interesante, and unique",interesante/unique,interesante,"Interesting/engaging,Unique/different,,,,,"
"I like the plot twists and the characters the most, also a lot of people talk about it.",plot twists/people talk/also/like/plot,plot twists,"Suspense/Mystery/thrillers,Appealing characters/I like the characters,Heard good review/recommendations by family/friends,,,,"
I like the tone the show gives off.,like the tone/show gives/like/tone/show,tone,"Other show characteristic mentions,,,,,,"
The unexpected direction the show takes,show takes/unexpected direction/takes/unexpected/direction,unexpected,"Suspense/Mystery/thrillers,,,,,,"
Not quite sure,quite sure/sure/quite,,"Don't know,,,,,,"
the ebst,ebst,,"Good/like the show/everything,,,,,,"
Its very good sci fi,good sci/good/sci,good,"Science fiction/fantasy,,,,,,"
It has a lot of western and sci fi espisodes,espisodes/sci fi espisodes/lot/western/sci,western/lot,"Western aspect,Science fiction/fantasy,,,,,"
This show is so unique and innovative has such a great cast i really love evan rachel wood and watch everything she is on and also the show is more thrilling than others and keeps me on the edge of my seat every single time,great cast/every single time/really love evan/love evan rachel/evan rachel wood,evan rachel wood/single time/great cast,"Unique/different,Creative/innovative/modern,Good acting,Like Evan Rachel Wood,Suspense/Mystery/thrillers,Attention grabbing/holds interest/keeps you wanting to watch more,"
i love the setting of it and the robots,robots/love/setting/love the setting,setting,"Like the premise/setting/scenery,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
It is a unique twist on sy-fi and fantasy while being a thriller all in one,unique twist/one/unique/twist/fantasy,unique twist/sy,"Unique/different,Suspense/Mystery/thrillers,Science fiction/fantasy,,,,"
I loke this pptiom best it is good,pptiom best/good/loke/pptiom/best,pptiom,"Good/like the show/everything,,,,,,"
The characters and the settings where it takes place,takes place/place/characters/settings/takes,characters,"Appealing characters/I like the characters,Like the premise/setting/scenery,,,,,"
the mystery of the show,show/mystery,mystery,"Suspense/Mystery/thrillers,,,,,,"
good story,good story/good/story,good,"Good storyline/subject matter,,,,,,"
I think the concept of people living out their fantasies through AI is fascinating and the show explores a lot of deep questions about human behavior and impulses.,people living/show explores/deep questions/human behavior/impulses,human behavior/deep questions/people/concept,"Other misc. mentions,,,,,,"
"The suspense, the future setting and my love of the original classic Westworld and Futureworld draws me into this show and makes me want to watch. All of these things make it a good show.",original classic westworld/classic westworld/futureworld draws/future setting/original classic,good show/future setting/classic/show,"Suspense/Mystery/thrillers,Like the premise/setting/scenery,Interesting/engaging,Good/like the show/everything,,,"
i like the characters and story,story/characters and story/like/characters/like the characters,characters,"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
"THE CONCEPT OF SOMETHING LIKE THIS EXISTING IN THE WORLD TODAY, ALTHOUGH SEEMS TOO FAR-FETCHED, WOULD BE UNBELIEVABLE",world today/although seems/something like/fetched/today,although seems/world today,"Like the concept/idea of futuristic amusement park,Relevant to 21st century/existing in the world today/reflects our current society,,,,,"
I think the characters are interesting and the story is evolving and becoming more interesting,interesting/think/characters/story/evolving,characters,"Appealing characters/I like the characters,Interesting/engaging,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
new concept,new concept/new/concept,new,"Unique/different,,,,,,"
great plot twists,great plot twists/great plot/plot twists/great/twists,plot,"Suspense/Mystery/thrillers,,,,,,"
the acting,acting,,"Good acting,,,,,,"
complex story lines,complex story lines/complex story/story lines/complex/lines,story,"Complex storyline,,,,,,"
I really love sci fi genres,really love sci/really love/love sci/genres/sci fi genres,sci,"Science fiction/fantasy,,,,,,"
"The Sci Fi elements as well as the acting, which are very good.",elements as well/sci/acting/good/sci fi elements,sci fi,"Science fiction/fantasy,Good acting,,,,,"
the scifi aspect and how it makes me question reality like the matrix,question reality like/scifi aspect/question reality/reality like/matrix,scifi aspect,"Science fiction/fantasy,Thought provoking,,,,,"
I like the interplay between humans and robots,robots/humans and robots/like/interplay/humans,interplay,"Other characters mentions,,,,,,"
Its so unique. There are other shows depicting the future of technology but I think this one is the best. Especially with the timing of it coming out where video games that are very similar to the plot of the show are so popular. I think everyone can find something that they like in it. I love that it makes you think and you don't know where the season is going until it is over. even then you're still left questioning things which make you look forward to the new season and make it a topic of conversation with friends,unique/think/shows depicting/season/make,new season/video games/other shows/season/one,"Unique/different,Good/like the show/everything,Thought provoking,Attention grabbing/holds interest/keeps you wanting to watch more,,,"
I don't care for the show. I tried to like it but can't seem to stick with it.,care/show/seem/tried/like,,"All negative mentions,,,,,,"
khujg rdfg ghjh ghffuy eyjhh jh,khujg rdfg ghjh/rdfg ghjh ghffuy/ghjh ghffuy eyjhh/khujg rdfg/rdfg ghjh,rdfg ghjh/eyjhh,"None/no answer,,,,,,"
It is unlike any other tv show produced right now,show produced right/show produced/produced right/unlike/show,tv,"Unique/different,,,,,,"
"I am big into the sci-fi genre, and this season's focus on data collection and AI is very timely and interesting. Additionally, the character arcs are amazing and the build up throughout the season where you have to piece together the information you are getting is thrilling and exiting.",data collection/sci/genre/focus/interesting,character arcs/data collection/fi genre/sci/big,"Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Interesting/engaging,Appealing characters/I like the characters,Informative/detailed,Suspense/Mystery/thrillers,Exciting"
it seems interesting and differnt than what is on now,seems interesting/seems/interesting/differnt/interesting and differnt,interesting,"Interesting/engaging,Unique/different,,,,,"
the setting and the storyline,storyline/setting,setting,"Like the premise/setting/scenery,Good storyline/subject matter,,,,,"
I like the drama and the suspense,like the drama/suspense/like/drama,drama,"Like the drama,Suspense/Mystery/thrillers,,,,,"
i just love the whole concept and writing of the show. this couldve been a show that had a great story line but was shot poorly. the writing and director really brings the story and concept to life.absolutely amazing show.,whole concept/show/great story line/love/whole,whole concept/story/concept/show,"Like the concept/idea of futuristic amusement park,Like the writing/dialog,Other acting mentions,Good/like the show/everything,,,"
"The writing, the sci-fi setting and the characters and how they deal with the situations that arise (especially Dolores, Maeve and the Man in Black).",especially dolores/dolores/maeve/black/man in black,fi setting/characters/sci/writing,"Like the writing/dialog,Like the premise/setting/scenery,Appealing characters/I like the characters,Like the character Dolores Abernathy,Other characters mentions,,"
