Input sentence,YAKE Prediction,YAKE Prediction Cleaned,TEXT_RANK Prediction,TEXT_RANK Prediction cleaned,Target Prediction
The cast and the plots,plots/cast,plots/cast,cast,cast,"Good cast/actors,Good storyline/subject matter,,,,,"
"intelligent dialogue and plot direction, superior acting, beautiful cinematography",superior acting/beautiful cinematography/intelligent dialogue/plot direction/intelligent,superior acting/beautiful cinematography/intelligent dialogue/plot direction,plot direction/intelligent dialogue,plot direction/intelligent dialogue,"Like the writing/dialog,Like the premise/setting/scenery,Good acting,Good visuals/graphics/special effects,,,"
I love the concept,concept/love the concept/love,love the concept,,,"Like the concept/idea of futuristic amusement park,,,,,,"
great,great,great,,,"Good/like the show/everything,,,,,,"
the backstory and the evolution of the characters,characters/backstory/evolution,characters/backstory/evolution,backstory,backstory,"Good storyline/subject matter,Like the characters development,,,,,"
remember the original movie so it is fun,original movie/remember/fun/remember the original/original,original movie/fun/remember the original,original,original,"Already seen/like the original movie,Witty/humorous/funny/entertaining,,,,,"
The beauty of Evan Rachel Wood. Her character and looks are mezmorizing.,evan rachel wood/rachel wood/evan rachel/wood/evan,evan rachel wood,evan rachel,evan rachel,"Like Evan Rachel Wood,Appealing characters/I like the characters,,,,,"
I liked this all time,time/liked,time/liked,,,"Good/like the show/everything,,,,,,"
So unique,unique,unique,,,"Unique/different,,,,,,"
Nothing,nothing,nothing,,,"None/no answer,,,,,,"
characters and concept,characters/concept/characters and concept,characters and concept,characters,characters,"Appealing characters/I like the characters,Like the concept/idea of futuristic amusement park,,,,,"
it is different than other shows that are on in a good way,good way/way/different/shows/good,good way/different/shows,other shows,other shows,"Unique/different,,,,,,"
Has some of my favorite actors. It's a great show cause it is unique in its settings and storylines. It's different from other shows.,favorite actors/great show cause/actors/favorite/great show,favorite actors/great show cause,great show/favorite actors/other,great show/favorite actors/other,"Good cast/actors,Good/like the show/everything,Unique/different,Like the premise/setting/scenery,Good storyline/subject matter,,"
The concepts of AI and personal identity it explores,personal identity/explores/identity it explores/concepts/personal,personal identity/identity it explores/concepts,personal identity,personal identity,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
The novel concept of the show.,novel concept/show/novel/concept,novel concept/show,novel,novel,"Unique/different,,,,,,"
"Makes us think, makes your imagination wander",imagination wander/makes/think/wander/makes us think,imagination wander/makes us think,,,"Thought provoking,Science fiction/fantasy,,,,,"
Everything. I can’t pick just one. Seriously love this show,everything/pick/one/seriously/show,everything/pick/one/seriously/show,,,"Good/like the show/everything,,,,,,"
I think it's interesting how the AI become so real and adapt and change to be like real people. It really makes you think.,like real people/real people/like real/interesting/people,like real people/interesting,real people/real,real people,"Interesting/engaging,Technology involvement/overpowering human life,Thought provoking,,,,"
The movie and book it is based on.,movie/book/based/movie and book,based/movie and book,movie,movie,"Other misc. mentions,,,,,,"
I don't like the sci-fi ness of it. So I don't plan to watch anymore,like/sci/like the sci/watch anymore/ness,like the sci/watch anymore/ness,fi,fi,"All negative mentions,,,,,,"
season 1 was poor. I lost all interest in this show from that point. I won't be watching anymore,season/poor/watching anymore/point/anymore,season/poor/watching anymore/point,poor/season,poor/season,"All negative mentions,,,,,,"
This show has nothing that I would be interested in,show/nothing/would/interested/show has nothing,would/interested/show has nothing,show,show,"All negative mentions,,,,,,"
Very addicting,addicting,addicting,,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
"Love the AI, becoming aware, aspect. Seems like plausible view of our future.",becoming aware/aspect/love/becoming/aware,becoming aware/aspect/love,plausible view/ai,plausible view/ai,"Technological aspects (inclusion of robots, exploring AI, etc.),Futuristic,,,,,"
I really like that now that Dolores is outside the park shes replacing people with duplicates with the pearls she took from the park. it adds a sense of tension to the show you don't know who to trust,really like/replacing people/people with duplicates/park/dolores,really like/replacing people/people with duplicates/park/dolores,duplicates/people/park/dolores,duplicates/people/park/dolores,"Like the character Dolores Abernathy,Other realistic/association with real life mentions,,,,,"
I love the show,show/love the show/love,love the show,,,"Good/like the show/everything,,,,,,"
good so,good,good,,,"Good/like the show/everything,,,,,,"
I love everything about it. I like that it twists I love the actors and characters. My fiance likes it so we can watch it together. I like that it has many different sets not just in one place.,love everything/love/everything/like/fiance likes,love everything/fiance likes,many different sets,many different sets,"Good/like the show/everything,Suspense/Mystery/thrillers,Good cast/actors,Appealing characters/I like the characters,Can watch with family/family likes the show,Like the premise/setting/scenery,"
everything the whole element of the story,whole element/everything/story/everything the whole/whole,whole element/story/everything the whole,whole,whole,"Good/like the show/everything,Good storyline/subject matter,,,,,"
It is like unraveling a puzzle,like unraveling/puzzle/like/unraveling,like unraveling/puzzle,,,"Suspense/Mystery/thrillers,,,,,,"
The great story,great story/story/great,great story,great,great,"Good storyline/subject matter,,,,,,"
I am interested in the artificial intelligence aspect and the complex storylines.,artificial intelligence aspect/complex storylines/artificial intelligence/intelligence aspect/storylines,artificial intelligence aspect/complex storylines,complex storylines/intelligence,complex storylines/intelligence,"Technological aspects (inclusion of robots, exploring AI, etc.),Complex storyline,,,,,"
"Wonderful sets, interesting storyline, surprises",wonderful sets/interesting storyline/surprises/wonderful/sets,wonderful sets/interesting storyline/surprises,wonderful sets,wonderful sets,"Like the premise/setting/scenery,Good storyline/subject matter,Suspense/Mystery/thrillers,,,,"
It seems relevant to current events. What drew me to want to watch the show was how many people are talking about it,current events/seems relevant/events/seems/relevant,current events/seems relevant,current events/many,current events/many,"Relevant to 21st century/existing in the world today/reflects our current society,Heard good review/recommendations by family/friends,,,,,"
It is interesting and has twists and turns,turns/twists and turns/interesting/twists,twists and turns/interesting,interesting,interesting,"Interesting/engaging,Suspense/Mystery/thrillers,,,,,"
It's an interesting show,interesting show/show/interesting,interesting show,interesting,interesting,"Interesting/engaging,,,,,,"
It’s addicting,addicting,addicting,,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
The themes are interesting and thought provoking.,thought provoking/provoking/themes/interesting/thought,thought provoking/themes/interesting,themes,themes,"Interesting/engaging,Thought provoking,,,,,"
I like sci-fi shows,like sci/sci/shows/like,like sci/shows,fi,fi,"Science fiction/fantasy,,,,,,"
Great acting,great acting/great/acting,great acting,great,great,"Good acting,,,,,,"
Special effects,special effects/special/effects,special effects,special,special,"Good visuals/graphics/special effects,,,,,,"
The acting the sets and the story,acting the sets/story/acting/sets,acting the sets/story,sets,sets,"Good acting,Like the premise/setting/scenery,Good storyline/subject matter,,,,"
I would like to start from the beginning and watch all of them,would like/would/like/start/beginning,would like/start/beginning,,,"Good/like the show/everything,,,,,,"
Story acting and production.,story acting/story/production/acting and production/acting,story acting/acting and production,story,story,"Good storyline/subject matter,Good cast/actors,High quality show/high production values,,,,"
nothing,nothing,nothing,,,"None/no answer,,,,,,"
I like my futuristic it is and it's not like anything else that's on TV right now.,futuristic/like/like my futuristic/like anything/anything,like my futuristic/like anything,futuristic,futuristic,"Futuristic,Unique/different,,,,,"
THE STORIES AND CONCEPT OF THE SHOW IS UNIQUE,unique/show is unique/stories/concept/show,show is unique/stories/concept,stories,stories,"Good storyline/subject matter,Like the concept/idea of futuristic amusement park,Unique/different,,,,"
the storyline,storyline,storyline,,,"Good storyline/subject matter,,,,,,"
Nothing makes me want to watch it.,nothing makes/nothing/makes/want/watch,nothing makes/want/watch,,,"All negative mentions,,,,,,"
"everything, it is a so good serie, so different and interesting",good serie/everything/serie/interesting/different and interesting,good serie/everything/different and interesting,good serie,good serie,"Good/like the show/everything,Unique/different,Interesting/engaging,,,,"
I like the overall sci-fi theme and the idea that there is a simulation people are living in,overall sci/simulation people/sci/like/overall,overall sci/simulation people/like,overall sci/fi,overall sci/fi,"Science fiction/fantasy,Like the concept/idea of futuristic amusement park,,,,,"
The first season was great and 8 lived it and it just sucked me in. I like that it was so confusing and weird,first season/first/season/great/lived,first season/great/lived,first season,first season,"Good experience/liked the previous seasons,,,,,,"
They are able to tie everything back in,tie everything back/tie everything/everything back/able/tie,tie everything back/able,,,"Other storyline/Plot mentions,,,,,,"
The futuristic amusement park which is looked after by robotic host. I also like the aspect of the artificial intelligence consciousness.,futuristic amusement park/robotic host/futuristic amusement/amusement park/artificial intelligence consciousness,futuristic amusement park/robotic host/artificial intelligence consciousness,robotic host/intelligence/amusement,robotic host/intelligence/amusement,"Like the concept/idea of futuristic amusement park,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
The over all show need to make time to watch it,show need/need to make/make time/show/need,show need/need to make/make time,show,show,"Other misc. mentions,,,,,,"
Everyone talking about it,everyone talking/everyone/talking,everyone talking,,,"Heard good review/recommendations by family/friends,,,,,,"
Good,good,good,,,"Good/like the show/everything,,,,,,"
"Now of course, a series doesn't have to satisfy all these conditions to be great. Some shows don't have a good atmosphere, or interesting topics, or great characters, and are still very good.I think it.",course/great/great characters/series/satisfy,course/great characters/series/satisfy,interesting topics/good atmosphere/good/great,interesting topics/good atmosphere/great,"Good/like the show/everything,,,,,,"
The multicultural cast.,multicultural cast/cast/multicultural,multicultural cast,multicultural,multicultural,"Other acting mentions,,,,,,"
is excellent,excellent,excellent,,,"Good/like the show/everything,,,,,,"
I love all the chaos and action,action/chaos and action/love/chaos,chaos and action/love,chaos,chaos,"Suspense/Mystery/thrillers,Like the action/adventurous,,,,,"
Spiritual Components,spiritual components/components/spiritual,spiritual components,spiritual,spiritual,"Other show type mentions,,,,,,"
It's original compared to everything else that's on TV right now. It's a bit hard to follow but that makes it exciting. It makes me want to rewatch it to understand it better and it also gives me something to talk about with other people that watch the show. I think it's a show that can be watched over and over again and each time it gives you a better insight. It's a show that makes you think. I also like the actors and am really happy to see Aaron Paul on a show again after watching him for so long on Breaking Bad.,original compared/everything else/show/makes/see aaron paul,original compared/everything else/show/makes/see aaron paul,aaron paul/better insight/other people/bit hard/better,aaron paul/better insight/other people/bit hard,"Original,Exciting,Attention grabbing/holds interest/keeps you wanting to watch more,Other show characteristic mentions,Good cast/actors,Like Aaron Paul,"
I like it because it is an intersection of the near future and reimagined past.,reimagined past/near future/past/like/intersection,reimagined past/near future/like/intersection,near future,near future,"Futuristic,Other storyline/Plot mentions,,,,,"
"Because it has a great plot, story, characters,and a lot of drama, which is always good to have",great plot/always good/story/characters/plot,great plot/always good/story/characters,great plot/story,great plot/story,"Like the premise/setting/scenery,Good storyline/subject matter,Appealing characters/I like the characters,Like the drama,Good/like the show/everything,,"
I like it cause it’s about robots and what happens when they revolt.,like it cause/revolt/like/cause/robots,like it cause/revolt/robots,,,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
it is very modern with interesting twists,interesting twists/twists/modern/interesting/modern with interesting,interesting twists/modern with interesting,interesting,interesting,"Creative/innovative/modern,Suspense/Mystery/thrillers,,,,,"
I loved the first season! After that it’s so hard to follow.,first season/season/loved/first/follow,first season/loved/follow,first,first,"All negative mentions,,,,,,"
The cast.,cast,cast,,,"Good cast/actors,,,,,,"
The drama and the suspect and the script is just good overall.,good overall/overall/drama/suspect/script,good overall/drama/suspect/script,suspect/drama,suspect/drama,"Like the drama,Like the writing/dialog,,,,,"
I love the story line. And I am curious what’s going to happens nex,story line/line/happens nex/love/story,story line/happens nex/love,story line,story line,"Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
it's very entertaining,entertaining,entertaining,,,"Witty/humorous/funny/entertaining,,,,,,"
I just love the sci fi aspect. Don't care for regular real life world shows,aspect/sci fi aspect/love/sci/world shows,sci fi aspect/love/world shows,real life/fi,real life/fi,"Science fiction/fantasy,,,,,,"
It is compelling without being too complex. While sometimes hard to fully understand it is never a dull moment.,compelling without/complex/dull moment/compelling/without,compelling without/complex/dull moment,dull moment,dull moment,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
It's a complex storyline,complex storyline/storyline/complex,complex storyline,complex,complex,"Complex storyline,,,,,,"
"the cast, features and music",cast/features/music/features and music,cast/features and music,cast,cast,"Good cast/actors,Other High quality production values Mentions,Like the music/song,,,,"
i love the role of rancher's daughter.,daughter/rancher/role of rancher/love/role,daughter/role of rancher/love,role,role,"Other characters mentions,,,,,,"
I like it,like,like,,,"Good/like the show/everything,,,,,,"
"I love this show, it is my Wife's favorite show that we watch together too so it goes a long way! Would recommend adding some more star power because this is a fantastic premise and overall A+ + storylines.",long way/favorite show/watch together/wife/favorite,long way/favorite show/watch together/wife,long way/favorite show/star/fantastic/show,long way/favorite show/star/fantastic,"Witty/humorous/funny/entertaining,Can watch with family/family likes the show,Like the premise/setting/scenery,Good storyline/subject matter,,,"
The whole theme of the show is great,whole theme/great/show is great/whole/theme,whole theme/show is great,whole theme,whole theme,"Good storyline/subject matter,,,,,,"
It is ominous and mysterious. I like the darkness,mysterious/ominous and mysterious/ominous/darkness/like,ominous and mysterious/darkness/like,ominous,ominous,"Other show characteristic mentions,Suspense/Mystery/thrillers,Dark/sarcastic,,,,"
Love the dark future,dark future/love/future/love the dark/dark,dark future/love the dark,dark,dark,"Futuristic,,,,,,"
The story/plot drives me into it the most as I am fantasized by how good it is,plot drives/story/plot/drives/fantasized,plot drives/story/fantasized,plot/story,plot/story,"Good storyline/subject matter,Science fiction/fantasy,,,,,"
is really great tv show,really great/show/great tv show/really/great,really great/great tv show,tv,tv,"Good/like the show/everything,,,,,,"
"It really doesn't seem like my thing. If I've watched it, it's because I was watching something else and left it on/waiting for something.",seem like/watching something else/seem/thing/like my thing,seem like/watching something else/like my thing,,,"All negative mentions,,,,,,"
The fact that it's on hbo and is high production. The music is really amazing as well,high production/production/fact/hbo/high,high production/fact/hbo,high production/fact,high production/fact,"Aired on HBO,High quality show/high production values,Like the music/song,,,,"
i like the overall story of the show and i like to see what will happen next in the story.,overall story/show/like/story/overall,overall story/show/like,overall story/story,overall story,"Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"I like that it has a diverse cast and crew, I like how interesting it is, and I like that it is a high quality show.",diverse cast/like/high quality show/crew/cast and crew,diverse cast/like/high quality show/cast and crew,diverse cast/quality,diverse cast/quality,"Good cast/actors,Interesting/engaging,High quality show/high production values,,,,"
No iption,iption,iption,,,"None/no answer,,,,,,"
It has an interesting narrative,interesting narrative/narrative/interesting,interesting narrative,interesting,interesting,"Interesting/engaging,,,,,,"
It is a concept never before filmed and produced,concept never/produced/filmed and produced/concept/never,concept never/filmed and produced,,,"Unique/different,,,,,,"
this is very excellent,excellent,excellent,,,"Good/like the show/everything,,,,,,"
Its the futuristic vibe of the show.,futuristic vibe/show/futuristic/vibe,futuristic vibe/show,futuristic,futuristic,"Futuristic,,,,,,"
The front page of the show it shows robot so I tried it out and the name I like robots and western cilvaltion stuff like cowboys and stuff,shows robot/front page/robot/western cilvaltion stuff/cilvaltion stuff like,shows robot/front page/western cilvaltion stuff/cilvaltion stuff like,western cilvaltion stuff/front page/stuff,western cilvaltion stuff/front page,"Technological aspects (inclusion of robots, exploring AI, etc.),Western aspect,,,,,"
how big the show is,big/show/big the show,big the show,big,big,"Other show characteristic mentions,,,,,,"
A very good show with a very good history,good history/good show/good/history/show,good history/good show,good,good,"Good/like the show/everything,Good storyline/subject matter,,,,,"
"that it is a unique series, with science fiction components",science fiction components/unique series/fiction components/science fiction/series,science fiction components/unique series,fiction/unique,fiction/unique,"Unique/different,Science fiction/fantasy,,,,,"
the twist and turns it has,twist/turns/twist and turns,twist and turns,,,"Suspense/Mystery/thrillers,,,,,,"
i enjoyed the acting and the idea of a robot run theme park from watching the original show with yul brynner. i like science fiction overall and the set design and story lines are very good quality and interesting.,robot run theme/run theme park/yul brynner/enjoyed the acting/robot run,robot run theme/run theme park/yul brynner/enjoyed the acting,run theme/science fiction/yul brynner/original show/story,run theme/science fiction/yul brynner/original show/story,"Good acting,Technological aspects (inclusion of robots, exploring AI, etc.),Original,Other acting mentions,Science fiction/fantasy,Like the premise/setting/scenery,Good storyline/subject matter"
it's a different type of show I've never seen,never seen/different type/never/seen/different,never seen/different type,different,different,"Unique/different,,,,,,"
I like the futuristic dystopian setting. I always enjoy sci fi movies and shows and this is a good fit. Like man y of HBO's shows it is high quality and makes it interesting to watch each week. I love the idea of living out your fantasy in this future world theme park.,futuristic dystopian setting/dystopian setting/futuristic dystopian/setting/futuristic,futuristic dystopian setting,world theme/futuristic dystopian/high quality/man y/good fit,world theme/futuristic dystopian/high quality/man y/good fit,"Futuristic,Science fiction/fantasy,Good/like the show/everything,High quality show/high production values,Interesting/engaging,Like the concept/idea of futuristic amusement park,"
it be what it be. I like what it do. I be watching that next season when it comes out too.,next season/like/watching/next/season,next season/like/watching,next,next,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
HAVE ONLY SEEN 1 EPISODE,episode/seen,episode/seen,only,only,"Have not watched enough to comment/not familiar with the show,,,,,,"
Watched some of season 1. It was pretty good but we just stopped and never went back. Maybe I’ll catch up again sometime but just not something I’m going out of my way for,watched/season/pretty good/good/went back,watched/season/pretty good/went back,season,season,"Have not watched enough to comment/not familiar with the show,,,,,,"
I enjoy everything about the show.,enjoy everything/show/enjoy/everything,enjoy everything/show,,,"Good/like the show/everything,,,,,,"
Good to pass the time,good/time/good to pass/pass the time/pass,good to pass/pass the time,good,good,"Other misc. mentions,,,,,,"
The characters are unique. The acting is awesome,unique/characters are unique/characters/awesome/acting,characters are unique/awesome/acting,unique/characters,unique/characters,"Appealing characters/I like the characters,Good acting,,,,,"
I just like the plot - and how it is different than regular tv,plot/like the plot/like/different/regular,like the plot/different/regular,regular tv,regular tv,"Like the premise/setting/scenery,Unique/different,,,,,"
It does an amazing job of character development and exploration. The storyline is incredible and thought provoking,amazing job/character development/exploration/development and exploration/thought provoking,amazing job/character development/development and exploration/thought provoking,amazing job/character,amazing job/character,"Like the characters development,Technological aspects (inclusion of robots, exploring AI, etc.),Good storyline/subject matter,Thought provoking,,,"
Futuristic design and development of idealized society and technological innovation,futuristic design/technological innovation/idealized society/futuristic/innovation,futuristic design/technological innovation/idealized society,futuristic design/technological,futuristic design/technological,"Futuristic,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
the ai is so far advanced,far advanced/advanced/far,far advanced,ai,ai,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
Difference,difference,difference,,,"Unique/different,,,,,,"
I want to see where it leads and how they are going to wrap it up. Specifically the story of the man in black and how he will find his way to delores,specifically the story/want/see/leads/going,specifically the story/want/see/leads/going,man/story,man/story,"Attention grabbing/holds interest/keeps you wanting to watch more,Other storyline/Plot mentions,,,,,"
vs Ravens18Bears - NS23160 20vs Patriots28Bears - NS11120 30at Cowboys1015Bears - NS3930 40vs Chargers,ns23160 20vs patriots28bears/ravens18bears/ns23160 20vs/20vs patriots28bears/ns23160,ns23160 20vs patriots28bears/ravens18bears,ns23160 20vs/40vs/30at,ns23160 20vs/40vs/30at,"None/no answer,,,,,,"
i love that it is so action packed and i love the story line of delores,action packed/packed/love/action/delores,action packed/love/delores,story line,story line,"Like the action/adventurous,Good storyline/subject matter,Like the character Dolores Abernathy,,,,"
The overall plot and cast are super entertaining and intriguing,overall plot/super entertaining/intriguing/entertaining and intriguing/overall,overall plot/super entertaining/entertaining and intriguing,overall plot,overall plot,"Good storyline/subject matter,Good cast/actors,Witty/humorous/funny/entertaining,Interesting/engaging,,,"
It’s complex and intelligent,complex/intelligent/complex and intelligent,complex and intelligent,complex,complex,"Complex storyline,Other show characteristic mentions,,,,,"
The story and the unique look of the show,unique look/show/story/unique/look,unique look/show/story,unique look,unique look,"Good storyline/subject matter,Unique/different,,,,,"
The storyline and the actors,actors/storyline,actors/storyline,storyline,storyline,"Good storyline/subject matter,Good cast/actors,,,,,"
Some few is unclear to me.,unclear,unclear,few,few,"All negative mentions,,,,,,"
Told by others to watch,told/watch/told by others/others to watch/others,told by others/others to watch,,,"Heard good review/recommendations by family/friends,,,,,,"
"it intriguing, good photography and good acting",good acting/good photography/intriguing/acting/photography and good,good acting/good photography/intriguing/photography and good,good photography/good,good photography,"Interesting/engaging,Good visuals/graphics/special effects,Good acting,,,,"
It is interesting.,interesting,interesting,,,"Interesting/engaging,,,,,,"
getting boring,getting boring/getting/boring,getting boring,,,"All negative mentions,,,,,,"
"I think it will be a yes, and it will be a very good show.",good show/yes/show/think/good,good show/yes/think,good,good,"Good/like the show/everything,,,,,,"
"The characters are so interesting and complex, the plot twists are so exciting, and the thrill and suspense never end.",suspense never end/never end/plot twists/suspense never/complex,suspense never end/plot twists/complex,plot twists/interesting/characters,plot twists/interesting/characters,"Appealing characters/I like the characters,Suspense/Mystery/thrillers,Exciting,Like the character complexity,,,"
yes.it is very good show,good show/show/good,good show,good,good,"Good/like the show/everything,,,,,,"
I like how odd and controversial it is,like/odd/controversial/like how odd/odd and controversial,like how odd/odd and controversial,odd,odd,"Other misc. mentions,,,,,,"
I find it so interesting to watch about an alternative reality. It is just interesting and intriguing in general.,alternative reality/reality/interesting/find/watch,alternative reality/interesting/find/watch,alternative reality,alternative reality,"Interesting/engaging,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
It is has an engaging plot. I enjoy the action and plot twists. Show has great cast.,engaging plot/plot/plot twists/engaging/twists,engaging plot/plot twists,great cast/plot,great cast/plot,"Attention grabbing/holds interest/keeps you wanting to watch more,Like the premise/setting/scenery,Like the action/adventurous,Suspense/Mystery/thrillers,Good cast/actors,,"
i like the show,show/like the show/like,like the show,,,"Good/like the show/everything,,,,,,"
"It's different from other shows. It may be confusing at times, but I like that it makes me think. Sometimes I have to watch an episode a few times to figure out exactly what is going on, and even then I don't always catch everything.",different/shows/always catch everything/times/always catch,different/shows/always catch everything/times,other shows/times,other shows/times,"Unique/different,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
I just think the whole concept is interesting. AI technology is already here. Who knows what the future holds.,whole concept/interesting/concept is interesting/think/whole,whole concept/concept is interesting/think,whole concept/ai,whole concept/ai,"Like the concept/idea of futuristic amusement park,Interesting/engaging,Technological aspects (inclusion of robots, exploring AI, etc.),,,,"
Quality,quality,quality,,,"Good/like the show/everything,,,,,,"
I loved when it first showed the revealing of who was human and who was AI. As the show progressed it was awesome to watch AI realize they were being used and for them to come into their own and rewrite their own programs to keep from being a slave to human programming. Now it's fun to watch as Delores is going for payback.,first showed/human programming/human/loved/first,first showed/human programming/loved,human programming/own programs/own/human/ai,human programming/own programs/ai,"Technology involvement/overpowering human life,Witty/humorous/funny/entertaining,,,,,"
I love the whole concept and have read part of the book.,whole concept/read part/book/love/whole,whole concept/read part/book/love,whole concept,whole concept,"Like the concept/idea of futuristic amusement park,,,,,,"
I love sci fi shows and Aaron paul is what makes it a good show,aaron paul/good show/love sci/aaron/show,aaron paul/good show/love sci,aaron paul/fi,aaron paul/fi,"Science fiction/fantasy,Like Aaron Paul,,,,,"
Westworld is intriguing and is what I need right now to binge watch while the state is on lockdown.,westworld is intriguing/need right/binge watch/westworld/lockdown,westworld is intriguing/need right/binge watch/lockdown,intriguing/westworld,intriguing/westworld,"Interesting/engaging,Have not watched enough to comment/not familiar with the show,,,,,"
"Just the great acting,the cast makes it realistic.",great acting/cast makes/acting/realistic/makes it realistic,great acting/cast makes/makes it realistic,great acting,great acting,"Good acting,Good cast/actors,Looks realistic,,,,"
The futuristic components and backstory,futuristic components/backstory/components and backstory/futuristic/components,futuristic components/components and backstory,futuristic,futuristic,"Futuristic,Good storyline/subject matter,,,,,"
I love the cast and the interactions between the characters. They're believable. The cast does a great job of portraying the characters and making them believable.,love the cast/believable/cast/love/interactions,love the cast/believable/interactions,great job/cast,great job/cast,"Good cast/actors,Like the characters interaction,Looks realistic,,,,"
It gives me something to think about.,gives/something/think/gives me something/something to think,gives me something/something to think,,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
I like the sci-fi aspect of the show,sci/show/like the sci/like/aspect,show/like the sci/aspect,fi aspect,fi aspect,"Appealing characters/I like the characters,,,,,,"
good like,good like/good/like,good like,,,"Good/like the show/everything,,,,,,"
My friends like it so I watch it. It’s a unique show unlike any others,friends like/friends/like/unique show unlike/unique show,friends like/unique show unlike,unique show,unique show,"Heard good review/recommendations by family/friends,Unique/different,,,,,"
this is very excellent so i like it,excellent/like,excellent/like,,,"Good/like the show/everything,,,,,,"
I don'tknow,None,None,,,"Don't know,,,,,,"
Ed Harris,harris,harris,ed,ed,"Like Ed Harris,,,,,,"
The aspect of artificial intelligence,artificial intelligence/intelligence/aspect/artificial/aspect of artificial,artificial intelligence/aspect of artificial,artificial,artificial,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
The whole aspect of a.i s,whole aspect/whole/aspect,whole aspect,whole aspect,whole aspect,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
The acting and writing is fantastic. The special effects are brilliant. It's a bit convoluted though and difficult to follow. I'm sticking with it in hopes it will get easier to follow.,fantastic/follow/writing is fantastic/acting/writing,follow/writing is fantastic/acting,bit convoluted/special effects/acting,bit convoluted/special effects/acting,"Good acting,Like the writing/dialog,Good visuals/graphics/special effects,,,,"
im not sure about this i just like it,sure/like,sure/like,,,"Good/like the show/everything,,,,,,"
great show and storyline,great show/great/storyline/show and storyline/show,great show/show and storyline,great,great,"Good/like the show/everything,Good storyline/subject matter,,,,,"
It brings you into a world of obscurity and it makes you think a good bit about what happened after you end each episode in which I love discussing with friends,good bit/love discussing/friends/discussing with friends/brings,good bit/love discussing/discussing with friends/brings,good bit/world,good bit/world,"Other misc. mentions,Thought provoking,,,,,"
The concept of the show. I need to catch up and binge watch during the time that I am working from home due to the covid 19. I will be able to catch up and I think I'm really going to love it once I watch from beginning to now.,show/concept/catch/home due/binge watch,show/concept/catch/home due/binge watch,watch/show/concept,watch/show/concept,"Like the concept/idea of futuristic amusement park,Have not watched enough to comment/not familiar with the show,,,,,"
I like the element of sci-fi mixed with real world action. I like that each season has a theme it's shown and played out strong throughout the season. I like that the show isn't afraid to have strange and out this world characters and cast people you wouldn't expect to be on the show. I like that each season the show evolves into something that blows my mind away and has trying to figure out what the next move of the characters will be.,real world action/world action/like/real world/season,real world action/like/season,real world action/world characters/next move/characters/sci,real world action/world characters/next move/sci,"Other show type mentions,Other show characteristic mentions,Appealing characters/I like the characters,Good cast/actors,Attention grabbing/holds interest/keeps you wanting to watch more,Thought provoking,"
It's complex and requires multiple viewings,requires multiple viewings/multiple viewings/requires multiple/complex/viewings,requires multiple viewings/complex,multiple,multiple,"Complex storyline,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
different than other brands,different/brands,different/brands,other,other,"Unique/different,,,,,,"
fantasies through artificial consciousness.,artificial consciousness/fantasies/consciousness/fantasies through artificial/artificial,artificial consciousness/fantasies through artificial,artificial,artificial,"Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
I can't wait to see how it unfolds,wait/unfolds/wait to see/see,unfolds/wait to see,,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
It sci fy stories and interesting plots it introduces,interesting plots/introduces/plots it introduces/sci/stories,interesting plots/plots it introduces/sci/stories,fy/interesting,fy/interesting,"Science fiction/fantasy,Interesting/engaging,Like the premise/setting/scenery,,,,"
The first season was excellent overall,excellent overall/first season/overall/first/season,excellent overall/first season,first,first,"Good experience/liked the previous seasons,,,,,,"
The characters themselves and the plot of the show draw me in every time a new episode airs.,new episode airs/episode airs/show draw/every time/new episode,new episode airs/show draw/every time,new episode airs,new episode airs,"Appealing characters/I like the characters,Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
Good writing and cast,good writing/good/cast/writing and cast/writing,good writing/writing and cast,good,good,"Like the writing/dialog,Good cast/actors,,,,,"
I think the charters are written in a venue and never on HBO. And has a good awards,hbo/never on hbo/good awards/think/charters,never on hbo/good awards/think/charters,good awards,good awards,"Appealing characters/I like the characters,Other misc. mentions,,,,,"
