src	keywords
the robots are real	"Looks realistic,,,,,,"
Nothing	"None/no answer,,,,,,"
very good episod i like it very much	"Good/like the show/everything,,,,,,"
"Its like nothing else on television. The overall writing, the big plot twist at the end of season 1 with Ed Helms's character being revealed to be a younger version of himself in episodes. Plus some of the other characters realizing they are actually AI that thought they were real people."	"Attention grabbing/holds interest/keeps you wanting to watch more,Like the writing/dialog,Suspense/Mystery/thrillers,Appealing characters/I like the characters,Looks realistic,,"
The complexity of the storylines and characters.	"Complex storyline,Appealing characters/I like the characters,,,,,"
I love the people who play the characters in the show	"Appealing characters/I like the characters,,,,,,"
The characters are so fascinating. You root for them.	"Appealing characters/I like the characters,,,,,,"
none	"None/no answer,,,,,,"
"From the very first episode in season 1, the writers have had my interest. It's always moving, always changing. Most shows are pretty easy to figure out but not Westworld. It reminds me of GOT."	"Interesting/engaging,Suspense/Mystery/thrillers,,,,,"
I like it base on the characters in the story that make the overall that much better	"Appealing characters/I like the characters,,,,,,"
it is very unique. the quality of the writing and acting is top notch. and i would watch anything with Ed Harris	"Unique/different,Like the writing/dialog,Good acting,Like Ed Harris,,,"
"I love all the narratives. How the characters connect, crossing paths but heading in the same direction. Then they go in a different direction, their focus changes as does their personalities. I miss the park but I'm looking forward to see how many of the ""guests"" show up in the real world. But are they a guest that escaped the park or are they human?"	"Other show characteristic mentions,Like the characters development,Technology involvement/overpowering human life,,,,"
The idea seemed intriguing and creative and it had really good production value	"Like the concept/idea of futuristic amusement park,High quality show/high production values,,,,,"
The story is unique	"Unique/different,,,,,,"
Concept of show is thought provoking and original	"Thought provoking,Original,,,,,"
"Futuristic, AI"	"Futuristic,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
good	"Good/like the show/everything,,,,,,"
trye	"None/no answer,,,,,,"
It is a compelling clash of genres and big ideas	"Like the genre,Like the concept/idea of futuristic amusement park,,,,,"
I'm just very involved with the storylines of the characters and I want to see how the plot ends up	"Attention grabbing/holds interest/keeps you wanting to watch more,Appealing characters/I like the characters,,,,,"
the sci-fi and the idea of artificial intelligence	"Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
"The plot, twists and themes about technology"	"Good storyline/subject matter,Suspense/Mystery/thrillers,Technological aspects (inclusion of robots, exploring AI, etc.),,,,"
i watched season one and was not that interested	"All negative mentions,,,,,,"
stuff for sure and things and me and then some and things and you	"None/no answer,,,,,,"
Anthony Hopkins is amazing in anything he plays in. The show is do good is because it's Western and Sci-Fi at the same time. All the artificial intelligence makes you wanting more.	"Other acting mentions,Good/like the show/everything,Western aspect,Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Attention grabbing/holds interest/keeps you wanting to watch more,"
"The story is unique, dark , thought provoking."	"Unique/different,Dark/sarcastic,Thought provoking,,,,"
relevant and believable	"Other show characteristic mentions,,,,,,"
Different than other shows	"Unique/different,,,,,,"
everything	"Good/like the show/everything,,,,,,"
I like the characters evolution. How westworld changed them and made each one who they are. Whether it’s an angry girl or a thought provoking lab tech	"Like the characters development,,,,,,"
the compelling story line and characters. there really isn't another show that's like it.	"Good storyline/subject matter,Appealing characters/I like the characters,Good/like the show/everything,,,,"
It’s an overall amazing addicting show	"Good/like the show/everything,,,,,,"
I love that it’s a new idea for a show. I love sci-fi and I think the acting is excellent	"Unique/different,Like the concept/idea of futuristic amusement park,Science fiction/fantasy,Good acting,,,"
you have good suspense scenes and the dialogue in the characters is macabre it also has good actors	"Suspense/Mystery/thrillers,Good cast/actors,,,,,"
its for the whole family and move my kids imagination they always think about man in black its a good show nice to watch and informative	"Can watch with family/family likes the show,Good/like the show/everything,Informative/detailed,,,,"
it's very likeable	"Good/like the show/everything,,,,,,"
The Sci-fi elements definitely and of course the wonderful cast and fantastic director	"Science fiction/fantasy,Good cast/actors,Other misc. mentions,,,,"
the very unique plot and storyline	"Unique/different,,,,,,"
The story	"Good storyline/subject matter,,,,,,"
iregtoier oigjheriogjhertipg jhepigjepigjertpiogjpgjteroj opergj pogefrt	"None/no answer,,,,,,"
I love how the show is so intense and all leaves you on your toes.	"Intense/serious,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
i am able to empathise with the character in depth	"Other characters mentions,,,,,,"
Not a whole lot really . The storyline is hard to follow . I'm really not a sci fi fan . My friend who was hanging out . Before the quarantine wanted to watch .	"All negative mentions,,,,,,"
The setting of the show.	"Like the premise/setting/scenery,,,,,,"
From the beginning of Season one all the way up until now what has truly fascinated me about this show is how it brings to life these almost human creatures so to speak who start to question there own existence	"Interesting/engaging,Other storyline/Plot mentions,,,,,"
The plot	"Good storyline/subject matter,,,,,,"
The theme of the robots as people	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
the level of detail and the unpredictability of the storyline	"Informative/detailed,Suspense/Mystery/thrillers,,,,,"
I love the rich and detailed world. I love the sci fi theme. All the acting is phenomenal. I love the violence and the thought provoking story.	"Other show type mentions,Science fiction/fantasy,Good acting,Violence,Thought provoking,,"
It is very entertaining	"Witty/humorous/funny/entertaining,,,,,,"
Great ensemble of a cast	"Good cast/actors,,,,,,"
Don't know	"Don't know,,,,,,"
nothing	"None/no answer,,,,,,"
I liked the beginning when it looked like it would be a western but then got too futuristic and AI	"Western aspect,Futuristic,Technological aspects (inclusion of robots, exploring AI, etc.),,,,"
I like the action and fantasy	"Like the action/adventurous,Science fiction/fantasy,,,,,"
Futuristic and the what if factor	"Futuristic,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"The twist and turns, not knowing what's to follow, you think you know what's next...but it's not."	"Suspense/Mystery/thrillers,,,,,,"
The characters and the worlds that they inhabit draws me to the show. I've always had this interest in artificial intelligence and I love sci-fi films. I love the acting also.	"Appealing characters/I like the characters,Technological aspects (inclusion of robots, exploring AI, etc.),Science fiction/fantasy,Good acting,,,"
Nick	"Other misc. mentions,,,,,,"
the mystery and lore	"Suspense/Mystery/thrillers,Good storyline/subject matter,,,,,"
It has great riveting storytelling and visuals.	"Good storyline/subject matter,Good visuals/graphics/special effects,,,,,"
The concept of the show is interesting and falls into the genre I like. I haven't watched more because there are so many seasons and it is a long time commitment.	"Like the concept/idea of futuristic amusement park,Good/like the show/everything,Have not watched enough to comment/not familiar with the show,,,,"
The story line and the surprise ending	"Good storyline/subject matter,Suspense/Mystery/thrillers,,,,,"
IS UNIQUE GOOD STORY	"Unique/different,Good storyline/subject matter,,,,,"
yes i lik this	"Good/like the show/everything,,,,,,"
SPORTS	"Other misc. mentions,,,,,,"
"Intense storyline, the key concept of the show, detailed, has just enough of a splash of violence and nudity to add to the story."	"Intense/serious,Like the concept/idea of futuristic amusement park,Informative/detailed,Violence,Other storyline/Plot mentions,,"
its good to use overall	"Good/like the show/everything,,,,,,"
"enjoy the plot twists and seeing where they end up, I am about to rewatch season 2 and then season 3"	"Suspense/Mystery/thrillers,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
it is very raw and authentic	"Other show characteristic mentions,Original,,,,,"
It is great plotting and characterization	"Like the premise/setting/scenery,Appealing characters/I like the characters,,,,,"
diffrent than ofhte progams	"Unique/different,,,,,,"
The cast is different than most other shows and has a unique theme that is followable.	"Good cast/actors,Unique/different,,,,,"
The scfi setting makes it cool	"Like the premise/setting/scenery,,,,,,"
Its complex. I'm trying to figure out what Delores is up to.	"All negative mentions,,,,,,"
The story and the tone of the show	"Good storyline/subject matter,Other show characteristic mentions,,,,,"
"The setting, and the technology. couple that with complex and intricate twists in the story line, and you have an excellent show."	"Like the premise/setting/scenery,Technological aspects (inclusion of robots, exploring AI, etc.),Suspense/Mystery/thrillers,Good/like the show/everything,,,"
"I was familiar with earlier iterations of Westworld and was pretty exited when I heard about the show, so I may be a little biased. And knowing that HBO was producing it also added to the excitement. They (HBO) have become synonymous with good hour long dramas and lead the way in modern TV story telling. The cast looked good from the start and they haven't disappointed me yet in terms of effort and class acting.I was already a fan of Jonathon Nolan and his writing, etc. etc. etc. And still aside from all of that bias, it manages to live up to my expectations. The writing is gripping and involving and I can't wait to see what happens next."	"Other show characteristic mentions,Exciting,Aired on HBO,Good cast/actors,Good acting,Other acting mentions,Like the writing/dialog"
Rebellion	"Other misc. mentions,,,,,,"
I think that the acting and the excitement makes this show enjoyable.	"Good acting,Exciting,,,,,"
I love the thriller scifi aspect of the show. I am fascinated by the concept of the AI and I love mysteries. This show does a really good job of keeping you guessing and adding intrigue. The acting is also phenomenal.	"Suspense/Mystery/thrillers,Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Thought provoking,Interesting/engaging,Good acting,"
I love that it’s realistically portrayed	"Looks realistic,,,,,,"
Westwood explained more about the charters back stories tHan Sea son 1	"Good storyline/subject matter,,,,,,"
I love the dynamics between Caleb and Delores. They are an interesting new duo and I cannot wait to see how their storyline evolves. Maeve is great played by Thandie Newton.	"Other characters mentions,Like the character Dolores Abernathy,Like Thandie Newton,,,,"
The idea that artificial intelligence reaches a pinnacle of human beings and exceeds them.	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
I think it has really good acting and suspense. I really like the complex storylines and like the characters. I like the futuristic aspect and technology parts of the show.	"Good acting,Suspense/Mystery/thrillers,Complex storyline,Appealing characters/I like the characters,Futuristic,Technological aspects (inclusion of robots, exploring AI, etc.),"
"The storylines are absolutely intriguing, the characters are multi-leveled and extremely interesting and love the unexpected plot twists! Although I was sad that the killed the little boy and husband in the last episode - very dark and sad! Curious if we are going to see Sir Snthony Hopkins make an appearance!"	"Good storyline/subject matter,Other storyline/Plot mentions,,,,,"
The uncertainty of what may or may not happen. The parts that keep you on the edge of your seat wondering what will happen next.	"Suspense/Mystery/thrillers,Exciting,,,,,"
Because of the sci-fi futuristic environment set in the wild west era	"Science fiction/fantasy,Futuristic,,,,,"
great wring	"Like the writing/dialog,,,,,,"
I like the technology aspect and that computer generated characters share such humanistic characteristics	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
I think the characters more than anything. I am a big Ed Harris fan and like Anthony Hopkins also.	"Appealing characters/I like the characters,Like Ed Harris,Other acting mentions,,,,"
Just the overall writing and concepts of the show is unlike anything else ive seen on tv. The real life fears with the world about AI and how they are depicted within the script are amazing. I also enjoy the cast of very talented and not necessarily the most heralded. There aren't many scenes or episodes as to me truly knowing what to expect next.	"Like the writing/dialog,Like the concept/idea of futuristic amusement park,Looks realistic,Technological aspects (inclusion of robots, exploring AI, etc.),,,"
"Season 1 was incredible. The complex, yet thought provoking storyline, combined with a very cool concept and a thrilling twist at the end. I was hooked. Season 2 had some emmy-award-level episodes (Aketchta episode) but the overall storyline, especially the ending, was all over the place. I've only heard that season 3 is similar."	"Good experience/liked the previous seasons,Complex storyline,Thought provoking,Suspense/Mystery/thrillers,,,"
It's thought-provoking and is high-quality like most HBO programming	"Thought provoking,High quality show/high production values,Aired on HBO,,,,"
"Good story line, good action"	"Good storyline/subject matter,Like the action/adventurous,,,,,"
Its a well written thrill with several plot twists and unexpected events that keep me on engaged	"Like the writing/dialog,Suspense/Mystery/thrillers,Interesting/engaging,,,,"
You can fantasize about something that is not real	"Science fiction/fantasy,,,,,,"
"the acting, the story, the worlds they create. The whole concept is interesting."	"Good acting,Creative/innovative/modern,Like the concept/idea of futuristic amusement park,,,,"
"The acting is second to none. The constantly building, interweaving narrative web is incredibly intricate, but always comes together in the end. Love the depiction of the near-future, and the cost and consequences of technology."	"Good acting,Other storyline/Plot mentions,,,,,"
"Actually it's the writing/dialogue between the characters. It's very profound, although sometimes it is confusing. I usually have to watch each episode twice so that I will understand the plots."	"Like the writing/dialog,,,,,,"
I love that this show has a futuristic overtone to the western world. Its great.	"Futuristic,Good/like the show/everything,,,,,"
It is an interesting show I enjoy it a ton	"Interesting/engaging,,,,,,"
Westworld's world-building is some of the finest I've seen from modern TV.	"Good/like the show/everything,,,,,,"
"The future has arrived at Westworld. Or rather, after two seasons spent in the amusement parks where the hosts acquire self-awareness, we finally take a look at what is hidden behind the curtain in a third that represents an evolution of everything we have seen so far. There are no longer narrative puzzles resulting from Bernard's mental confusion or the slow and traumatic awakening of Dolores; the fight for control of the world is now a reality and will take place on the streets digitized"	"Futuristic,Like the characters interaction,Looks realistic,Technological aspects (inclusion of robots, exploring AI, etc.),,,"
What draws me into the show and makes me enjoy watching is that they have come up with such an original idea/storyline. I like that they live out their fantasies and the consequences that result from all this. I really feel they have complex characters and some of the best actors out there. It's something that is fun to watch. I'm a big sci fi fan so this is the type of show I really enjoy.	"Original,Science fiction/fantasy,Like the character complexity,Good cast/actors,Witty/humorous/funny/entertaining,Good/like the show/everything,"
I love the sci-fi genre and this is action packed and thrilling	"Science fiction/fantasy,Like the action/adventurous,Suspense/Mystery/thrillers,,,,"
exciting do not know what will happen next unpredictable	"Exciting,Suspense/Mystery/thrillers,,,,,"
The pure insanity and chaos. Of course the beautiful women help	"Other storyline/Plot mentions,Good cast/actors,,,,,"
The cast.	"Good cast/actors,,,,,,"
The discussin of privacy and free will	"Other storyline/Plot mentions,,,,,,"
Znznznz znznzznz znz z snz snz zbz zjs sns sns sns sns sbs sns sns sns snsnsms sdkd d dnd djsbs sns dnd	"None/no answer,,,,,,"
good	"Good/like the show/everything,,,,,,"
The aspect of using high technology in a system that we only imagine now.	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
good	"Good/like the show/everything,,,,,,"
I really enjoy watching Westworld because it is a complex and thrilling show	"Good/like the show/everything,Complex storyline,Suspense/Mystery/thrillers,,,,"
Thinking kinda show you have to almost watch each episode twice.	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
Interesting story	"Interesting/engaging,,,,,,"
The settling	"Like the premise/setting/scenery,,,,,,"
To be honest I like it but I only see it if there is nothing better to see.	"Good/like the show/everything,,,,,,"
"is interesante, and unique"	"Interesting/engaging,Unique/different,,,,,"
"I like the plot twists and the characters the most, also a lot of people talk about it."	"Suspense/Mystery/thrillers,Appealing characters/I like the characters,Heard good review/recommendations by family/friends,,,,"
I like the tone the show gives off.	"Other show characteristic mentions,,,,,,"
The unexpected direction the show takes	"Suspense/Mystery/thrillers,,,,,,"
Not quite sure	"Don't know,,,,,,"
the ebst	"Good/like the show/everything,,,,,,"
Its very good sci fi	"Science fiction/fantasy,,,,,,"
It has a lot of western and sci fi espisodes	"Western aspect,Science fiction/fantasy,,,,,"
This show is so unique and innovative has such a great cast i really love evan rachel wood and watch everything she is on and also the show is more thrilling than others and keeps me on the edge of my seat every single time	"Unique/different,Creative/innovative/modern,Good acting,Like Evan Rachel Wood,Suspense/Mystery/thrillers,Attention grabbing/holds interest/keeps you wanting to watch more,"
i love the setting of it and the robots	"Like the premise/setting/scenery,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
It is a unique twist on sy-fi and fantasy while being a thriller all in one	"Unique/different,Suspense/Mystery/thrillers,Science fiction/fantasy,,,,"
I loke this pptiom best it is good	"Good/like the show/everything,,,,,,"
The characters and the settings where it takes place	"Appealing characters/I like the characters,Like the premise/setting/scenery,,,,,"
the mystery of the show	"Suspense/Mystery/thrillers,,,,,,"
good story	"Good storyline/subject matter,,,,,,"
I think the concept of people living out their fantasies through AI is fascinating and the show explores a lot of deep questions about human behavior and impulses.	"Other misc. mentions,,,,,,"
"The suspense, the future setting and my love of the original classic Westworld and Futureworld draws me into this show and makes me want to watch. All of these things make it a good show."	"Suspense/Mystery/thrillers,Like the premise/setting/scenery,Interesting/engaging,Good/like the show/everything,,,"
i like the characters and story	"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
"THE CONCEPT OF SOMETHING LIKE THIS EXISTING IN THE WORLD TODAY, ALTHOUGH SEEMS TOO FAR-FETCHED, WOULD BE UNBELIEVABLE"	"Like the concept/idea of futuristic amusement park,Relevant to 21st century/existing in the world today/reflects our current society,,,,,"
I think the characters are interesting and the story is evolving and becoming more interesting	"Appealing characters/I like the characters,Interesting/engaging,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
new concept	"Unique/different,,,,,,"
great plot twists	"Suspense/Mystery/thrillers,,,,,,"
the acting	"Good acting,,,,,,"
complex story lines	"Complex storyline,,,,,,"
I really love sci fi genres	"Science fiction/fantasy,,,,,,"
"The Sci Fi elements as well as the acting, which are very good."	"Science fiction/fantasy,Good acting,,,,,"
the scifi aspect and how it makes me question reality like the matrix	"Science fiction/fantasy,Thought provoking,,,,,"
I like the interplay between humans and robots	"Other characters mentions,,,,,,"
Its so unique. There are other shows depicting the future of technology but I think this one is the best. Especially with the timing of it coming out where video games that are very similar to the plot of the show are so popular. I think everyone can find something that they like in it. I love that it makes you think and you don't know where the season is going until it is over. even then you're still left questioning things which make you look forward to the new season and make it a topic of conversation with friends	"Unique/different,Good/like the show/everything,Thought provoking,Attention grabbing/holds interest/keeps you wanting to watch more,,,"
I don't care for the show. I tried to like it but can't seem to stick with it.	"All negative mentions,,,,,,"
khujg rdfg ghjh ghffuy eyjhh jh	"None/no answer,,,,,,"
It is unlike any other tv show produced right now	"Unique/different,,,,,,"
"I am big into the sci-fi genre, and this season's focus on data collection and AI is very timely and interesting. Additionally, the character arcs are amazing and the build up throughout the season where you have to piece together the information you are getting is thrilling and exiting."	"Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Interesting/engaging,Appealing characters/I like the characters,Informative/detailed,Suspense/Mystery/thrillers,Exciting"
it seems interesting and differnt than what is on now	"Interesting/engaging,Unique/different,,,,,"
the setting and the storyline	"Like the premise/setting/scenery,Good storyline/subject matter,,,,,"
I like the drama and the suspense	"Like the drama,Suspense/Mystery/thrillers,,,,,"
i just love the whole concept and writing of the show. this couldve been a show that had a great story line but was shot poorly. the writing and director really brings the story and concept to life.absolutely amazing show.	"Like the concept/idea of futuristic amusement park,Like the writing/dialog,Other acting mentions,Good/like the show/everything,,,"
"The writing, the sci-fi setting and the characters and how they deal with the situations that arise (especially Dolores, Maeve and the Man in Black)."	"Like the writing/dialog,Like the premise/setting/scenery,Appealing characters/I like the characters,Like the character Dolores Abernathy,Other characters mentions,,"
Love the storyline	"Good storyline/subject matter,,,,,,"
i have nothing specific to say here	"None/no answer,,,,,,"
The diversity of the cast is remarkable. I'm a big fan of a lot of the actors on the show including Jeffery Wright and Thandie Newton. Its a pleasure to watch.	"Good cast/actors,Other acting mentions,Like Thandie Newton,Good/like the show/everything,,,"
It's unique and interesting	"Unique/different,Interesting/engaging,,,,,"
the entertainment	"Witty/humorous/funny/entertaining,,,,,,"
I like westworld	"Good/like the show/everything,,,,,,"
"The entire premise of the show reminds me of a futuristic Fantasy Island, a show that was near and dear to me growing up and the modern-day adaptation did not live up to. Westworld takes this a bit farther with the wild west theme setting it apart from most other shows on TV. The show consistently rotates in fresh faces so you never really know what will happen next. I also like that while the show is about Westworld, plenty of action happens elsewhere in this universe so the scenery never becomes stale"	"Futuristic,Science fiction/fantasy,Creative/innovative/modern,Suspense/Mystery/thrillers,Like the action/adventurous,Like the premise/setting/scenery,"
Trying to unravel everything and constantly being on the edge of my seat.	"Suspense/Mystery/thrillers,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"Curious to know what plot twist can come next; what is Delores' ultimately plan, it is suspenseful"	"Attention grabbing/holds interest/keeps you wanting to watch more,Suspense/Mystery/thrillers,Like the character Dolores Abernathy,,,,"
I aint explaining crap to yall robots.	"All negative mentions,,,,,,"
The sy/fi aspect and plot twists at every turn. I enjoy shows that make you think and leave you on cliff hangers.	"Science fiction/fantasy,Suspense/Mystery/thrillers,Witty/humorous/funny/entertaining,Attention grabbing/holds interest/keeps you wanting to watch more,,,"
"I personally have not sat down to watch more than the pilot episode. I binge watch series quite often so I intend on trying to get into Westworld. Actually, it will probably be the next show I try to get into but right now my wife and I are binge watching True Blood."	"Have not watched enough to comment/not familiar with the show,,,,,,"
interesting show	"Interesting/engaging,,,,,,"
Westworld is an exclusive theme park where those who can afford a ticket can live without limits.	"Like the concept/idea of futuristic amusement park,,,,,,"
It is a unique storyline	"Unique/different,Good storyline/subject matter,,,,,"
"I like all the actors. I keep watching hoping it will get better and less confusing. It just keeps getting whackier and confusing. I thought last year was mixed up, but this year is really nutty, hard to follow and kind of beginning to wish they would all just be gone."	"Good cast/actors,,,,,,"
I started to watch because I heard good things and the fact it had Anthony Hopkins in it. The show is sort of confusing. I would like to know what the pearls are.	"Heard good review/recommendations by family/friends,Other acting mentions,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
because it is the best and i like the most	"Good/like the show/everything,,,,,,"
Is not a rerun on other channels	"Unique/different,,,,,,"
Thefirst one is the one I was looking for a text from you soon and have a great day and I will be there at the	"None/no answer,,,,,,"
the modern trust on an old western	"Creative/innovative/modern,,,,,,"
"it has an excellent plot, and with a high level cast"	"Like the premise/setting/scenery,Good cast/actors,,,,,"
The entertainment	"Witty/humorous/funny/entertaining,,,,,,"
"How unique it is, both story line and characters. I also enjoy all of the drama in contains."	"Unique/different,Good storyline/subject matter,Appealing characters/I like the characters,Like the drama,,,"
it keeps you entertained and attached to it. explore different topics when comparing it with other shows	"Witty/humorous/funny/entertaining,Attention grabbing/holds interest/keeps you wanting to watch more,Unique/different,Like the premise/setting/scenery,,,"
Meh	"None/no answer,,,,,,"
Nice	"Good/like the show/everything,,,,,,"
Good writing	"Like the writing/dialog,,,,,,"
I like the cast and plot	"Good cast/actors,Like the premise/setting/scenery,,,,,"
Unique storyline and I saw the original Westworld of 1973 and I thought is was a great movie.	"Unique/different,Already seen/like the original movie,,,,,"
the acting is awesome and the storyline is so different and interesting	"Good acting,Unique/different,Interesting/engaging,,,,"
"its violence, Nice"	"Violence,,,,,,"
I haven't watched season 3 yet.	"Have not watched enough to comment/not familiar with the show,,,,,,"
The characters and the sci-fi	"Appealing characters/I like the characters,Science fiction/fantasy,,,,,"
I like the cast and like that it is a new and different show.	"Good cast/actors,Unique/different,,,,,"
"The more you watch it, the more you fit the pieces to the puzzle in the show. It makes you think and it unlike any show out there, the storyline doesn't compare to anything else."	"Attention grabbing/holds interest/keeps you wanting to watch more,Unique/different,,,,,"
The way that AI is depicted and portrayed on the show	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
the story and characters	"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
The futuristic nature of the characters	"Futuristic,,,,,,"
No	"None/no answer,,,,,,"
It makes me think	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
"I have only seen a few episodes, but I am looking forward to watching the show again"	"Have not watched enough to comment/not familiar with the show,,,,,,"
I like it because it is a futuristic concept and unlike any other tv show on tv.	"Futuristic,Like the concept/idea of futuristic amusement park,Unique/different,,,,"
The story and the fact it’s hbo	"Good storyline/subject matter,Aired on HBO,,,,,"
I’m just interested in futuristic stories. I need to watch all of the episodes to get a better understanding.	"Futuristic,Have not watched enough to comment/not familiar with the show,,,,,"
"The great writing, twists and turns, great cast, and unique nature of the show."	"Like the writing/dialog,Suspense/Mystery/thrillers,Good cast/actors,Unique/different,,,"
it is great totally	"Good/like the show/everything,,,,,,"
I honestly believe that this season is one of the best i think that its perfect.	"Good/like the show/everything,,,,,,"
I like the concept and the complex storyline.	"Like the concept/idea of futuristic amusement park,Complex storyline,,,,,"
Is amazing an impact in and the cast is really good	"Good/like the show/everything,Good cast/actors,,,,,"
How exciting it is	"Exciting,,,,,,"
The intricate storytelling that involves interesting and compelling plot twists. Complex characters that are played by a talented and multicultural cast. Amazing special effects.	"Good storyline/subject matter,Suspense/Mystery/thrillers,Like the character complexity,Good cast/actors,Good visuals/graphics/special effects,,"
I like that it is a show that is like a horror and mystery genre type of show. It is interesting and fun to watch.	"Other show type mentions,Suspense/Mystery/thrillers,Interesting/engaging,Witty/humorous/funny/entertaining,,,"
It different then other shows that i watch it gives me something new	"Unique/different,,,,,,"
who is real	"Looks realistic,,,,,,"
The storyline and plot does.	"Good storyline/subject matter,,,,,,"
Get some more action to go	"All negative mentions,,,,,,"
LIKED THE ORIGINAL MOVIE	"Already seen/like the original movie,,,,,,"
insurance companies to do this employer asks for me know what they will have been in my head	"None/no answer,,,,,,"
"The actors, I want to know more about cast"	"Good cast/actors,Other acting mentions,,,,,"
It is well written and hard to know where it will go next story wise. It has great acting and special effects. I like Aaron Paul as a new addition this season. I also love the new direction the show took this season outside of the park with new characters	"Like the writing/dialog,Suspense/Mystery/thrillers,Good cast/actors,Good visuals/graphics/special effects,Like Aaron Paul,Unique/different,Appealing characters/I like the characters"
good	"Good/like the show/everything,,,,,,"
i don't know	"Don't know,,,,,,"
The script and the deep deeper and deepest part of the shows reality	"Like the writing/dialog,Informative/detailed,Looks realistic,,,,"
"I like the storyline, and what draws me into this show is what will happen next. Meaning, will the story give us hints on the future of the A.I's and if they will feel what humans feel, etc. It is a good show because I love drama stories."	"Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,Technological aspects (inclusion of robots, exploring AI, etc.),Good/like the show/everything,Like the drama,,"
there is no other show that can command your total attention as Westword. evan rachel wood is fantastic. thandie newton is also fantastic . this great groups of actors makes Westworld.	"Attention grabbing/holds interest/keeps you wanting to watch more,Like Evan Rachel Wood,Like Thandie Newton,Good cast/actors,,,"
There are unexpected twists	"Suspense/Mystery/thrillers,,,,,,"
its different and pretty cool	"Unique/different,Good/like the show/everything,,,,,"
I want to see where Dolores' struggle takes her and how does Aaron Paul's character help. I also want to see what happens to Mauve.	"Attention grabbing/holds interest/keeps you wanting to watch more,Other characters mentions,,,,,"
"The complexity of the story keep unraveling like peeling back layers to an onion and I want to know what is controlling this universe. Although I'm mostly confused to what the ""big picture"" is, I want to know more."	"Complex storyline,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
THe plot and the characters and the actors.	"Good storyline/subject matter,Appealing characters/I like the characters,Good cast/actors,,,,"
"The setting and people talking about it, saying how good it is, makes me want to watch it. The characters and plot make Westworld a good show."	"Like the premise/setting/scenery,Heard good review/recommendations by family/friends,Attention grabbing/holds interest/keeps you wanting to watch more,Appealing characters/I like the characters,Good storyline/subject matter,,"
Its different.	"Unique/different,,,,,,"
the concept of artificial intelligence and about being sentient	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
I just love this type of show	"Good/like the show/everything,,,,,,"
I really enjoyed the park setting I know you probably can’t go back to it but the show was so much more enjoyable at least for me. It’s still fine need to sit down and watch the third season	"Like the concept/idea of futuristic amusement park,Witty/humorous/funny/entertaining,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
its very great	"Good/like the show/everything,,,,,,"
"The intriguing concept as I loved the movie the series is based on, but season 2 was a mess and season 3 so far have been a hit and miss trying to recover from that."	"Like the concept/idea of futuristic amusement park,,,,,,"
I love the cast and the overarching theme of man against technology and artificial intelligence.	"Good cast/actors,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
The blurrying of what is a real person and what is not. The idea of them demanding a life and purpose.	"Technology involvement/overpowering human life,Other realistic/association with real life mentions,,,,,"
My husband watched it so I wanted to try it	"Have not watched enough to comment/not familiar with the show,,,,,,"
que es muy buena serie	"Good/like the show/everything,,,,,,"
I just like the show and especially Thandie Newton who looks and acts like a modern Vivienne Leigh.	"Good/like the show/everything,Like Thandie Newton,,,,,"
"It allows its visitors to live out their fantasies through artificial consciousness - I think that is really cool! No matter how illicit the fantasy may be, there are no consequences for the park's guests, allowing for any wish to be indulged - that is what really draws me in."	"Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Good/like the show/everything,Attention grabbing/holds interest/keeps you wanting to watch more,,,"
Unique	"Unique/different,,,,,,"
Can't be killed	"Other misc. mentions,,,,,,"
this quality is very well	"High quality show/high production values,,,,,,"
It can be very addicting	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
Na	"None/no answer,,,,,,"
the moral implications of ai	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
